Name,Slug,Parent,Description,Display Type,Image
Clothing,clothing,,"All types of clothing and apparel",default,https://example.com/images/cat-clothing.jpg
"Men's",mens,Clothing,"Men's clothing and accessories",products,https://example.com/images/cat-mens.jpg
"Women's",womens,Clothing,"Women's clothing and accessories",products,https://example.com/images/cat-womens.jpg
Shirts,shirts,"Men's","Men's dress shirts and casual shirts",products,https://example.com/images/cat-shirts.jpg
T-Shirts,t-shirts,Shirts,"Casual t-shirts and graphic tees",products,https://example.com/images/cat-tshirts.jpg
Shoes,shoes,Clothing,"Footwear for all occasions",products,https://example.com/images/cat-shoes.jpg
Dresses,dresses,"Women's","Casual and formal dresses",products,https://example.com/images/cat-dresses.jpg
Accessories,accessories,"Women's","Handbags, jewelry, and more",products,https://example.com/images/cat-accessories.jpg
Home & Kitchen,home-kitchen,,"Products for home and kitchen",default,https://example.com/images/cat-home.jpg
Drinkware,drinkware,Home & Kitchen,"Mugs, glasses, and bottles",products,https://example.com/images/cat-drinkware.jpg
Books,books,,"Physical and digital books",default,https://example.com/images/cat-books.jpg
Technology,technology,Books,"Programming and technology books",subcategories,https://example.com/images/cat-tech-books.jpg
Courses,courses,Technology,"Online courses and training",products,https://example.com/images/cat-courses.jpg
Digital Products,digital-products,,"Downloadable digital products",products,https://example.com/images/cat-digital.jpg
Services,services,,"Professional services and consultations",products,https://example.com/images/cat-services.jpg
