Name,Slug,Description
Cotton,cotton,Products made from cotton fabric
Casual,casual,Casual everyday wear items
Basics,basics,Wardrobe essentials and basic items
Performance,performance,High-performance athletic products
Bestseller,bestseller,Top-selling products across all categories
New Arrival,new-arrival,Recently added products to the store
Eco-Friendly,eco-friendly,Environmentally sustainable products
Premium,premium,Premium quality products with superior materials
Gift Idea,gift-idea,Great products for gifting occasions
Limited Edition,limited-edition,Limited run products with exclusive designs
